customer_id,transaction_amount,transaction_type,location,device,past_fraud_history,previous_transaction_pattern,fraudulent
CUST1953,465304,RTGS,Delhi,Vivo X70,No,High Frequency,Yes
CUST4945,133078,NEFT,Kolkata,iPhone 13,No,High Frequency,No
CUST2042,127884,Debit Card,Bangalore,OnePlus 9,No,High Frequency,No
CUST8585,305996,Credit Card,Kolkata,OnePlus 9,Yes,Large Transactions,Yes
CUST1181,173007,Debit Card,Delhi,OnePlus 9,Yes,Large Transactions,Yes
CUST1394,402628,NEFT,Delhi,Redmi Note 10,Yes,Normal,Yes
CUST5582,163596,RTGS,Chennai,OnePlus 9,No,High Frequency,No
CUST2020,93975,RTGS,Bangalore,Redmi Note 10,No,High Frequency,No
CUST9479,350507,NEFT,Patna,Vivo X70,Yes,Large Transactions,Yes
CUST6671,494607,IMPS,Chennai,Redmi Note 10,No,Large Transactions,Yes
CUST7929,100481,IMPS,Mumbai,OnePlus 9,Yes,Normal,Yes
CUST9545,340674,IMPS,Mumbai,Vivo X70,Yes,Normal,Yes
CUST4921,54488,NEFT,Bangalore,Vivo X70,No,Large Transactions,No
CUST2772,240584,Debit Card,Mumbai,Vivo X70,Yes,Large Transactions,Yes
CUST7206,455176,UPI,Patna,Vivo X70,No,Normal,Yes
CUST6426,414700,Debit Card,Delhi,iPhone 13,Yes,High Frequency,Yes
CUST7478,142889,UPI,Chennai,Samsung S22,Yes,Normal,Yes
CUST2875,272307,NEFT,Jaipur,iPhone 13,Yes,Normal,Yes
CUST6583,253873,Credit Card,Mumbai,Vivo X70,Yes,Normal,Yes
CUST6826,90260,Credit Card,Delhi,iPhone 13,No,Large Transactions,No
CUST9878,18914,NEFT,Mumbai,Samsung S22,No,Normal,No
CUST8846,201907,IMPS,Jaipur,Samsung S22,Yes,Normal,Yes
CUST8170,388072,UPI,Patna,OnePlus 9,No,Large Transactions,Yes
CUST3436,482024,UPI,Bangalore,iPhone 13,No,High Frequency,Yes
CUST9671,186504,Debit Card,Jaipur,Redmi Note 10,No,Normal,No
CUST7761,27504,Credit Card,Jaipur,Redmi Note 10,Yes,High Frequency,Yes
CUST3851,34692,IMPS,Delhi,Redmi Note 10,Yes,Normal,Yes
CUST3404,374680,Credit Card,Jaipur,Redmi Note 10,Yes,Normal,Yes
CUST5942,68872,Debit Card,Delhi,Vivo X70,No,Large Transactions,No
CUST3572,344012,RTGS,Jaipur,Redmi Note 10,No,Normal,Yes
CUST4104,125192,UPI,Kolkata,Redmi Note 10,Yes,High Frequency,Yes
CUST4254,53945,UPI,Chennai,Vivo X70,Yes,Large Transactions,Yes
CUST5100,463767,IMPS,Mumbai,iPhone 13,No,Normal,Yes
CUST1462,413348,NEFT,Mumbai,iPhone 13,No,Normal,Yes
CUST7443,179311,Credit Card,Patna,OnePlus 9,Yes,Normal,Yes
CUST8938,277246,Debit Card,Delhi,iPhone 13,No,High Frequency,Yes
CUST4310,218734,RTGS,Bangalore,iPhone 13,No,Large Transactions,Yes
CUST5087,111100,RTGS,Bangalore,Samsung S22,Yes,High Frequency,Yes
